,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6961349964141845,0.07401139340793274,0.27631144523620604,0.06611480263971162,0.1,1,"{'C': 0.1, 'gamma': 1}",0.4227504244482173,0.4227504244482173,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42173174872665536,0.0008317452437294401,45
1,0.40401482582092285,0.08757822551443492,0.23755745887756347,0.04188710038660332,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.4227504244482173,0.4227504244482173,0.42105263157894735,0.41935483870967744,0.42105263157894735,0.4213921901528014,0.0012705118461032,54
2,0.2690749645233154,0.06567940722282821,0.18945250511169434,0.042363955590025225,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.5398981324278438,0.533106960950764,0.5382003395585738,0.5127334465195246,0.533106960950764,0.5314091680814941,0.009723477801885483,24
3,0.2839972496032715,0.06000214268912876,0.20593223571777344,0.041360845943625386,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.5246179966044142,0.5195246179966044,0.5280135823429541,0.5076400679117148,0.5144312393887945,0.5188455008488965,0.007250986928374393,28
4,0.2203606605529785,0.02227564537071411,0.1698835849761963,0.0073557252143052676,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",0.4855687606112054,0.5008488964346349,0.48217317487266553,0.4906621392190153,0.49575551782682514,0.49100169779286934,0.006740045243218739,30
5,0.21217684745788573,0.018652350976891118,0.16987171173095703,0.004026958239139235,0.1,1e-05,"{'C': 0.1, 'gamma': 1e-05}",0.4227504244482173,0.4227504244482173,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42173174872665536,0.0008317452437294401,45
6,0.5544614791870117,0.01192123022080258,0.21367440223693848,0.0039607490246968205,1,1,"{'C': 1, 'gamma': 1}",0.42784380305602715,0.4295415959252971,0.42105263157894735,0.4295415959252971,0.42784380305602715,0.4271646859083192,0.003148936670796512,44
7,0.35523457527160646,0.009201799199282767,0.17950286865234374,0.003538036777657027,1,0.1,"{'C': 1, 'gamma': 0.1}",0.5280135823429541,0.5212224108658744,0.5297113752122241,0.5059422750424448,0.5195246179966044,0.5208828522920204,0.008413929842691929,27
8,0.26767711639404296,0.002975543298486382,0.15998539924621583,0.0034094221026469236,1,0.01,"{'C': 1, 'gamma': 0.01}",0.5585738539898133,0.5483870967741935,0.5619694397283531,0.5280135823429541,0.5432937181663837,0.5480475382003395,0.012072250481922708,14
9,0.2501415729522705,0.005421852424648165,0.15904645919799804,0.00168631712811282,1,0.001,"{'C': 1, 'gamma': 0.001}",0.5415959252971138,0.5415959252971138,0.5483870967741935,0.5161290322580645,0.5246179966044142,0.5344651952461799,0.012072250481922705,19
10,0.2271700382232666,0.004184972711920423,0.16239614486694337,0.0034580898140390897,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.5314091680814941,0.5263157894736842,0.5415959252971138,0.5144312393887945,0.5195246179966044,0.5266553480475382,0.00944681001238952,25
11,0.22758545875549316,0.005628607582090917,0.1833953380584717,0.002200126443324681,1,1e-05,"{'C': 1, 'gamma': 1e-05}",0.4685908319185059,0.4838709677419355,0.4617996604414261,0.4685908319185059,0.4855687606112054,0.47368421052631576,0.009360983872387256,33
12,0.7039618015289306,0.0889021748097879,0.21811413764953613,0.008524109258451493,10,1,"{'C': 10, 'gamma': 1}",0.42105263157894735,0.4244482173174873,0.41935483870967744,0.4159592529711375,0.42784380305602715,0.42173174872665536,0.004102901858605967,45
13,0.4895695686340332,0.0976372810489848,0.18349089622497558,0.00743951782540065,10,0.1,"{'C': 10, 'gamma': 0.1}",0.44142614601018676,0.4617996604414261,0.5093378607809848,0.45500848896434637,0.4770797962648557,0.46893039049235996,0.023239305442809752,34
